,Distribution,Shift
0,Uniform (Likert),0.040000000000000036
1,Uniform (Likert),0.3999999999999999
2,Uniform (Likert),0.08000000000000007
3,Uniform (Likert),0.3600000000000001
4,Uniform (Likert),0.32000000000000006
5,Uniform (Likert),0.24
6,Uniform (Likert),0.43999999999999995
7,Uniform (Likert),0.1200000000000001
8,Uniform (Likert),0.32000000000000006
9,Uniform (Likert),0.3999999999999999
10,Uniform (Likert),0.19999999999999996
11,Uniform (Likert),0.56
12,Uniform (Likert),0.32000000000000006
13,Uniform (Likert),0.32000000000000006
14,Uniform (Likert),0.1200000000000001
15,Uniform (Likert),0.96
16,Uniform (Likert),0.28
17,Uniform (Likert),0.040000000000000036
18,Uniform (Likert),0.15999999999999992
19,Uniform (Likert),0.19999999999999996
20,Uniform (Likert),0.3999999999999999
21,Uniform (Likert),0.3999999999999999
22,Uniform (Likert),0.0
23,Uniform (Likert),-0.16000000000000014
24,Uniform (Likert),0.15999999999999992
25,Uniform (Likert),0.19999999999999996
26,Uniform (Likert),1.12
27,Uniform (Likert),0.96
28,Uniform (Likert),0.3999999999999999
29,Uniform (Likert),0.24
30,Uniform (Likert),0.43999999999999995
31,Uniform (Likert),0.43999999999999995
32,Uniform (Likert),0.3600000000000001
33,Uniform (Likert),0.1200000000000001
34,Uniform (Likert),0.24
35,Uniform (Likert),0.6000000000000001
36,Uniform (Likert),0.28
37,Uniform (Likert),0.6000000000000001
38,Uniform (Likert),0.48
39,Uniform (Likert),0.56
40,Uniform (Likert),0.28
41,Uniform (Likert),0.9199999999999999
42,Uniform (Likert),0.32000000000000006
43,Uniform (Likert),1.0
44,Uniform (Likert),0.3999999999999999
45,Uniform (Likert),0.48
46,Uniform (Likert),0.56
47,Uniform (Likert),0.28
48,Uniform (Likert),0.24
49,Uniform (Likert),1.0
50,Uniform (Likert),0.3999999999999999
51,Uniform (Likert),0.72
52,Uniform (Likert),0.3600000000000001
53,Uniform (Likert),1.24
54,Uniform (Likert),0.08000000000000007
55,Uniform (Likert),0.76
56,Uniform (Likert),0.3999999999999999
57,Uniform (Likert),0.56
58,Uniform (Likert),0.8799999999999999
59,Uniform (Likert),0.32000000000000006
60,Uniform (Likert),0.56
61,Uniform (Likert),0.28
62,Uniform (Likert),0.3600000000000001
63,Uniform (Likert),0.040000000000000036
64,Uniform (Likert),0.48
65,Uniform (Likert),1.2
66,Uniform (Likert),0.1200000000000001
67,Uniform (Likert),0.28
68,Uniform (Likert),0.0
69,Uniform (Likert),0.15999999999999992
70,Uniform (Likert),0.52
71,Uniform (Likert),0.32000000000000006
72,Uniform (Likert),0.6799999999999999
73,Uniform (Likert),0.28
74,Uniform (Likert),-0.3600000000000001
75,Uniform (Likert),0.52
76,Uniform (Likert),0.28
77,Uniform (Likert),0.3999999999999999
78,Uniform (Likert),0.3999999999999999
79,Uniform (Likert),0.15999999999999992
80,Uniform (Likert),0.32000000000000006
81,Uniform (Likert),0.0
82,Uniform (Likert),0.28
83,Uniform (Likert),0.3999999999999999
84,Uniform (Likert),0.52
85,Uniform (Likert),0.40000000000000013
86,Uniform (Likert),0.19999999999999996
87,Uniform (Likert),0.32000000000000006
88,Uniform (Likert),0.48
89,Uniform (Likert),0.08000000000000007
90,Uniform (Likert),1.04
91,Uniform (Likert),0.1200000000000001
92,Uniform (Likert),0.28
93,Uniform (Likert),1.0
94,Uniform (Likert),0.040000000000000036
95,Uniform (Likert),0.19999999999999996
96,Uniform (Likert),0.3999999999999999
97,Uniform (Likert),0.24
98,Uniform (Likert),0.43999999999999995
99,Uniform (Likert),0.3999999999999999
100,Uniform (Cont.),0.11257127933619848
101,Uniform (Cont.),0.13047427253167665
102,Uniform (Cont.),0.11724611327702106
103,Uniform (Cont.),0.10469553117187419
104,Uniform (Cont.),0.14821620253693635
105,Uniform (Cont.),0.08625852177564475
106,Uniform (Cont.),0.20745730336174723
107,Uniform (Cont.),0.17573264333919913
108,Uniform (Cont.),0.12967957670033314
109,Uniform (Cont.),0.16038314327436964
110,Uniform (Cont.),0.11271964535992163
111,Uniform (Cont.),0.16839751027517824
112,Uniform (Cont.),0.04827658816638114
113,Uniform (Cont.),0.15071934510593188
114,Uniform (Cont.),0.11066706806364213
115,Uniform (Cont.),0.12647456473577534
116,Uniform (Cont.),0.12051162463742338
117,Uniform (Cont.),0.10947270477576021
118,Uniform (Cont.),0.16013674265182642
119,Uniform (Cont.),0.14739726238390527
120,Uniform (Cont.),0.14013565857243943
121,Uniform (Cont.),0.1114017431273634
122,Uniform (Cont.),0.12157092461993468
123,Uniform (Cont.),0.06914999873477323
124,Uniform (Cont.),0.14734143711375836
125,Uniform (Cont.),0.07708988109695847
126,Uniform (Cont.),0.21641671959064213
127,Uniform (Cont.),0.19269177848671648
128,Uniform (Cont.),0.15944055114551092
129,Uniform (Cont.),0.07642600105740771
130,Uniform (Cont.),0.1606939432594191
131,Uniform (Cont.),0.12364625737697743
132,Uniform (Cont.),0.14707200019242356
133,Uniform (Cont.),0.10581250545733545
134,Uniform (Cont.),0.16372097425662413
135,Uniform (Cont.),0.13610244750180756
136,Uniform (Cont.),0.19002017699136664
137,Uniform (Cont.),0.09327117132658175
138,Uniform (Cont.),0.08303937917726018
139,Uniform (Cont.),0.10116209371198509
140,Uniform (Cont.),0.12291439589274272
141,Uniform (Cont.),0.11784910233815082
142,Uniform (Cont.),0.11074545006057923
143,Uniform (Cont.),0.16694613224614485
144,Uniform (Cont.),0.14194155094716054
145,Uniform (Cont.),0.10616538099511058
146,Uniform (Cont.),0.11378957175132987
147,Uniform (Cont.),0.14035426788412197
148,Uniform (Cont.),0.1341868292732189
149,Uniform (Cont.),0.16798281500274548
150,Uniform (Cont.),0.17340524840920474
151,Uniform (Cont.),0.09399044429758452
152,Uniform (Cont.),0.0892745546929834
153,Uniform (Cont.),0.26249753063573966
154,Uniform (Cont.),0.14285004434303938
155,Uniform (Cont.),0.22295795879974672
156,Uniform (Cont.),0.09277244408193674
157,Uniform (Cont.),0.12843559688316253
158,Uniform (Cont.),0.13512052682162345
159,Uniform (Cont.),0.17860357366133633
160,Uniform (Cont.),0.14555684235433386
161,Uniform (Cont.),0.11634561748440064
162,Uniform (Cont.),0.1123920338980362
163,Uniform (Cont.),0.06979826624036889
164,Uniform (Cont.),0.051181627452447365
165,Uniform (Cont.),0.21011673895732796
166,Uniform (Cont.),0.12311742447973772
167,Uniform (Cont.),0.12657930333925194
168,Uniform (Cont.),0.08535081605401074
169,Uniform (Cont.),0.09594269372449404
170,Uniform (Cont.),0.12593388619723078
171,Uniform (Cont.),0.04311620315679676
172,Uniform (Cont.),0.058399684394564
173,Uniform (Cont.),0.11528754253551643
174,Uniform (Cont.),0.055572316815457046
175,Uniform (Cont.),0.1824797564133241
176,Uniform (Cont.),0.10132097728634049
177,Uniform (Cont.),0.06297327003330028
178,Uniform (Cont.),0.10528634631251366
179,Uniform (Cont.),0.15481569275271156
180,Uniform (Cont.),0.10578442424860646
181,Uniform (Cont.),0.09976354649866004
182,Uniform (Cont.),0.10959531469125283
183,Uniform (Cont.),0.11145324519401517
184,Uniform (Cont.),0.21528301803578825
185,Uniform (Cont.),0.1576305269536113
186,Uniform (Cont.),0.15132569488794334
187,Uniform (Cont.),0.19499797716654854
188,Uniform (Cont.),0.07171851931899864
189,Uniform (Cont.),0.12857255476546714
190,Uniform (Cont.),0.17261579169449737
191,Uniform (Cont.),0.15676776737665277
192,Uniform (Cont.),0.17800606558311227
193,Uniform (Cont.),0.13088177378121224
194,Uniform (Cont.),0.10737099682282347
195,Uniform (Cont.),0.15243292568850986
196,Uniform (Cont.),0.08161185082050565
197,Uniform (Cont.),0.14531889876045023
198,Uniform (Cont.),0.18229362828748863
199,Uniform (Cont.),0.1653528186052799
200,Normal (Likert),1.08
201,Normal (Likert),0.24
202,Normal (Likert),0.1200000000000001
203,Normal (Likert),0.1200000000000001
204,Normal (Likert),0.52
205,Normal (Likert),0.28
206,Normal (Likert),0.43999999999999995
207,Normal (Likert),0.24
208,Normal (Likert),0.040000000000000036
209,Normal (Likert),0.7599999999999998
210,Normal (Likert),0.040000000000000036
211,Normal (Likert),0.08000000000000007
212,Normal (Likert),-0.040000000000000036
213,Normal (Likert),0.0
214,Normal (Likert),0.24
215,Normal (Likert),0.28
216,Normal (Likert),0.24
217,Normal (Likert),0.3600000000000001
218,Normal (Likert),0.24
219,Normal (Likert),0.32000000000000006
220,Normal (Likert),0.32000000000000006
221,Normal (Likert),0.52
222,Normal (Likert),0.28
223,Normal (Likert),0.3999999999999999
224,Normal (Likert),0.24
225,Normal (Likert),0.28
226,Normal (Likert),0.15999999999999992
227,Normal (Likert),0.43999999999999995
228,Normal (Likert),0.32000000000000006
229,Normal (Likert),0.24
230,Normal (Likert),0.32000000000000006
231,Normal (Likert),0.040000000000000036
232,Normal (Likert),0.3600000000000001
233,Normal (Likert),0.24
234,Normal (Likert),0.08000000000000007
235,Normal (Likert),0.28
236,Normal (Likert),0.19999999999999996
237,Normal (Likert),0.24
238,Normal (Likert),0.3600000000000001
239,Normal (Likert),0.28
240,Normal (Likert),0.43999999999999995
241,Normal (Likert),0.24
242,Normal (Likert),0.19999999999999996
243,Normal (Likert),0.24
244,Normal (Likert),0.52
245,Normal (Likert),0.24
246,Normal (Likert),0.19999999999999996
247,Normal (Likert),0.15999999999999992
248,Normal (Likert),0.24
249,Normal (Likert),0.28
250,Normal (Likert),0.20000000000000018
251,Normal (Likert),0.24
252,Normal (Likert),0.56
253,Normal (Likert),-0.040000000000000036
254,Normal (Likert),0.32000000000000006
255,Normal (Likert),0.43999999999999995
256,Normal (Likert),0.32000000000000006
257,Normal (Likert),0.52
258,Normal (Likert),0.24
259,Normal (Likert),0.19999999999999996
260,Normal (Likert),0.08000000000000007
261,Normal (Likert),0.3600000000000001
262,Normal (Likert),0.56
263,Normal (Likert),-0.040000000000000036
264,Normal (Likert),0.43999999999999995
265,Normal (Likert),0.24
266,Normal (Likert),1.04
267,Normal (Likert),0.19999999999999996
268,Normal (Likert),0.32000000000000006
269,Normal (Likert),0.48
270,Normal (Likert),0.0
271,Normal (Likert),0.43999999999999995
272,Normal (Likert),0.32000000000000006
273,Normal (Likert),0.32000000000000006
274,Normal (Likert),0.28
275,Normal (Likert),0.24
276,Normal (Likert),0.19999999999999996
277,Normal (Likert),0.28
278,Normal (Likert),0.3600000000000001
279,Normal (Likert),0.1200000000000001
280,Normal (Likert),0.6000000000000001
281,Normal (Likert),0.28
282,Normal (Likert),0.19999999999999996
283,Normal (Likert),0.3600000000000001
284,Normal (Likert),0.3600000000000001
285,Normal (Likert),0.15999999999999992
286,Normal (Likert),-0.040000000000000036
287,Normal (Likert),0.24
288,Normal (Likert),0.32000000000000006
289,Normal (Likert),0.40000000000000013
290,Normal (Likert),0.19999999999999996
291,Normal (Likert),0.48
292,Normal (Likert),0.08000000000000007
293,Normal (Likert),0.72
294,Normal (Likert),0.24
295,Normal (Likert),0.43999999999999995
296,Normal (Likert),0.08000000000000007
297,Normal (Likert),0.28
298,Normal (Likert),0.15999999999999992
299,Normal (Likert),0.48
300,Normal (Cont.),0.17859590056006447
301,Normal (Cont.),0.09218435366251243
302,Normal (Cont.),0.15461843280999943
303,Normal (Cont.),0.05348102258355658
304,Normal (Cont.),0.03757213505523549
305,Normal (Cont.),0.13977604340461025
306,Normal (Cont.),0.05034199157757441
307,Normal (Cont.),0.04512387776050858
308,Normal (Cont.),0.12298042945626708
309,Normal (Cont.),0.14905663142888503
310,Normal (Cont.),0.06473141179601116
311,Normal (Cont.),0.06681492156632729
312,Normal (Cont.),0.0898946730264043
313,Normal (Cont.),0.10602392303587183
314,Normal (Cont.),0.16288748572573242
315,Normal (Cont.),0.09207169970747292
316,Normal (Cont.),0.11489962747220595
317,Normal (Cont.),0.052912828032158854
318,Normal (Cont.),0.05464045906703152
319,Normal (Cont.),0.06618970961784981
320,Normal (Cont.),0.13324869499788417
321,Normal (Cont.),0.2010731301023399
322,Normal (Cont.),0.08380150978687728
323,Normal (Cont.),0.08498371110860908
324,Normal (Cont.),0.009175969282424756
325,Normal (Cont.),0.17538466074803732
326,Normal (Cont.),0.12394238384799772
327,Normal (Cont.),0.020188470280705695
328,Normal (Cont.),0.14988065646193027
329,Normal (Cont.),0.05845675107409298
330,Normal (Cont.),0.0543987663318623
331,Normal (Cont.),0.12200079726255719
332,Normal (Cont.),0.07634100230941787
333,Normal (Cont.),0.04578391174844432
334,Normal (Cont.),0.035059698480767065
335,Normal (Cont.),0.0501811000924417
336,Normal (Cont.),0.15147639187710582
337,Normal (Cont.),0.11351741285629646
338,Normal (Cont.),0.11208448692423112
339,Normal (Cont.),0.10319983359147322
340,Normal (Cont.),0.19957455525202544
341,Normal (Cont.),0.06498999439254777
342,Normal (Cont.),0.033181931056525116
343,Normal (Cont.),0.10553812737824719
344,Normal (Cont.),0.050019158503779915
345,Normal (Cont.),0.11672352195888092
346,Normal (Cont.),0.08034019056888647
347,Normal (Cont.),0.10610899807650243
348,Normal (Cont.),0.09074300700802296
349,Normal (Cont.),0.10513834471460293
350,Normal (Cont.),0.16591771819081325
351,Normal (Cont.),0.12167828369268663
352,Normal (Cont.),0.13721206417978993
353,Normal (Cont.),0.06947367757186618
354,Normal (Cont.),0.15036990731809902
355,Normal (Cont.),0.14551374880908996
356,Normal (Cont.),0.13230244537128288
357,Normal (Cont.),0.07851086345634617
358,Normal (Cont.),0.11619928154131964
359,Normal (Cont.),0.16685136590716954
360,Normal (Cont.),0.06602861243820601
361,Normal (Cont.),0.07751868677987306
362,Normal (Cont.),0.12159842724860276
363,Normal (Cont.),0.108088994918073
364,Normal (Cont.),0.10154810375921414
365,Normal (Cont.),0.11084788171517779
366,Normal (Cont.),0.18245723974166772
367,Normal (Cont.),0.12865178841118408
368,Normal (Cont.),0.12749564231360433
369,Normal (Cont.),0.05357421928305123
370,Normal (Cont.),0.06294648534859792
371,Normal (Cont.),0.05745064586939391
372,Normal (Cont.),0.12865265105010615
373,Normal (Cont.),0.16180745250333717
374,Normal (Cont.),0.0686098562488881
375,Normal (Cont.),0.15756287397688573
376,Normal (Cont.),0.14367026722814868
377,Normal (Cont.),0.0961698326291931
378,Normal (Cont.),0.03107862235479769
379,Normal (Cont.),0.07356203271782857
380,Normal (Cont.),0.05639751813997862
381,Normal (Cont.),0.13083888973045088
382,Normal (Cont.),0.05308402379581123
383,Normal (Cont.),0.07313406138140532
384,Normal (Cont.),0.12821045111960105
385,Normal (Cont.),0.1081808386181824
386,Normal (Cont.),0.11746671028456923
387,Normal (Cont.),0.04280027067462455
388,Normal (Cont.),0.09542571319303028
389,Normal (Cont.),0.2052687405179484
390,Normal (Cont.),0.05786199468562925
391,Normal (Cont.),0.09474072030631575
392,Normal (Cont.),0.1017388826170873
393,Normal (Cont.),0.05859291940266337
394,Normal (Cont.),0.07487541515871121
395,Normal (Cont.),0.2011025932794478
396,Normal (Cont.),0.10521249016586309
397,Normal (Cont.),0.15623508614001813
398,Normal (Cont.),0.1245371132045262
399,Normal (Cont.),0.05238106109277729
400,Beta (Likert),0.28
401,Beta (Likert),0.28
402,Beta (Likert),0.3999999999999999
403,Beta (Likert),0.52
404,Beta (Likert),0.56
405,Beta (Likert),0.43999999999999995
406,Beta (Likert),0.24
407,Beta (Likert),0.19999999999999996
408,Beta (Likert),0.1200000000000001
409,Beta (Likert),0.32000000000000006
410,Beta (Likert),0.040000000000000036
411,Beta (Likert),0.15999999999999992
412,Beta (Likert),0.3600000000000001
413,Beta (Likert),0.1200000000000001
414,Beta (Likert),0.3600000000000001
415,Beta (Likert),0.43999999999999995
416,Beta (Likert),0.19999999999999996
417,Beta (Likert),0.15999999999999992
418,Beta (Likert),0.3999999999999999
419,Beta (Likert),0.08000000000000007
420,Beta (Likert),0.32000000000000006
421,Beta (Likert),0.43999999999999995
422,Beta (Likert),0.15999999999999992
423,Beta (Likert),0.3999999999999999
424,Beta (Likert),-0.20000000000000018
425,Beta (Likert),0.3999999999999999
426,Beta (Likert),0.08000000000000007
427,Beta (Likert),0.24
428,Beta (Likert),0.3999999999999999
429,Beta (Likert),0.24
430,Beta (Likert),0.1200000000000001
431,Beta (Likert),0.15999999999999992
432,Beta (Likert),0.24
433,Beta (Likert),0.040000000000000036
434,Beta (Likert),0.15999999999999992
435,Beta (Likert),0.3600000000000001
436,Beta (Likert),0.32000000000000006
437,Beta (Likert),-0.040000000000000036
438,Beta (Likert),-0.040000000000000036
439,Beta (Likert),0.1200000000000001
440,Beta (Likert),0.1200000000000001
441,Beta (Likert),0.52
442,Beta (Likert),0.48
443,Beta (Likert),0.1200000000000001
444,Beta (Likert),0.32000000000000006
445,Beta (Likert),0.9199999999999999
446,Beta (Likert),0.19999999999999996
447,Beta (Likert),0.52
448,Beta (Likert),0.1200000000000001
449,Beta (Likert),0.32000000000000006
450,Beta (Likert),0.15999999999999992
451,Beta (Likert),-0.1200000000000001
452,Beta (Likert),0.6000000000000001
453,Beta (Likert),0.15999999999999992
454,Beta (Likert),0.32000000000000006
455,Beta (Likert),0.3600000000000001
456,Beta (Likert),0.3600000000000001
457,Beta (Likert),0.24
458,Beta (Likert),0.15999999999999992
459,Beta (Likert),0.1200000000000001
460,Beta (Likert),0.43999999999999995
461,Beta (Likert),0.08000000000000007
462,Beta (Likert),0.6399999999999999
463,Beta (Likert),0.040000000000000036
464,Beta (Likert),0.3999999999999999
465,Beta (Likert),0.19999999999999996
466,Beta (Likert),0.19999999999999996
467,Beta (Likert),0.15999999999999992
468,Beta (Likert),0.28
469,Beta (Likert),0.28
470,Beta (Likert),0.24
471,Beta (Likert),0.040000000000000036
472,Beta (Likert),0.28
473,Beta (Likert),0.3999999999999999
474,Beta (Likert),0.28
475,Beta (Likert),0.56
476,Beta (Likert),-0.08000000000000007
477,Beta (Likert),0.19999999999999996
478,Beta (Likert),0.28
479,Beta (Likert),0.32000000000000006
480,Beta (Likert),0.52
481,Beta (Likert),0.24
482,Beta (Likert),0.24
483,Beta (Likert),0.3999999999999999
484,Beta (Likert),0.48
485,Beta (Likert),0.48
486,Beta (Likert),0.040000000000000036
487,Beta (Likert),0.19999999999999996
488,Beta (Likert),0.1200000000000001
489,Beta (Likert),0.32000000000000006
490,Beta (Likert),0.43999999999999995
491,Beta (Likert),-0.040000000000000036
492,Beta (Likert),0.48
493,Beta (Likert),0.15999999999999992
494,Beta (Likert),0.32000000000000006
495,Beta (Likert),0.15999999999999992
496,Beta (Likert),0.32000000000000006
497,Beta (Likert),0.0
498,Beta (Likert),0.19999999999999996
499,Beta (Likert),0.32000000000000006
500,Beta (Cont.),0.07926955188012863
501,Beta (Cont.),0.026491143601381273
502,Beta (Cont.),0.03404114625144855
503,Beta (Cont.),0.062341758956227455
504,Beta (Cont.),0.09812213255359237
505,Beta (Cont.),0.07049451962350506
506,Beta (Cont.),0.06925769755383532
507,Beta (Cont.),0.06589348284523233
508,Beta (Cont.),0.1015168342609496
509,Beta (Cont.),0.07852223101572514
510,Beta (Cont.),0.0706672246524136
511,Beta (Cont.),0.04176358862021712
512,Beta (Cont.),0.041862915496545194
513,Beta (Cont.),0.10383818455975291
514,Beta (Cont.),0.07094599447021305
515,Beta (Cont.),0.030495863812881108
516,Beta (Cont.),0.04887761257519441
517,Beta (Cont.),0.05753321900699715
518,Beta (Cont.),0.04247055664577798
519,Beta (Cont.),0.06700181941031835
520,Beta (Cont.),0.07582819681777236
521,Beta (Cont.),0.0861686803014528
522,Beta (Cont.),0.055165666597796315
523,Beta (Cont.),0.04842581209463537
524,Beta (Cont.),0.06577981768170515
525,Beta (Cont.),0.08488702655992919
526,Beta (Cont.),0.06637853495196244
527,Beta (Cont.),0.06813003449457211
528,Beta (Cont.),0.09208786401661107
529,Beta (Cont.),0.02044107267405948
530,Beta (Cont.),0.05180271564380656
531,Beta (Cont.),0.06756168416566499
532,Beta (Cont.),0.11893539387555113
533,Beta (Cont.),0.04980782745182655
534,Beta (Cont.),0.0497335903042363
535,Beta (Cont.),0.06436844772990957
536,Beta (Cont.),0.06415747738616895
537,Beta (Cont.),0.06341116636634869
538,Beta (Cont.),0.08592172836988299
539,Beta (Cont.),0.08716727449791872
540,Beta (Cont.),0.07734209639394118
541,Beta (Cont.),0.04255363054561068
542,Beta (Cont.),0.06132780858687176
543,Beta (Cont.),0.06347664384425222
544,Beta (Cont.),0.08297711702376298
545,Beta (Cont.),0.1176619999214299
546,Beta (Cont.),0.06783314838801136
547,Beta (Cont.),0.04922395459575857
548,Beta (Cont.),0.05624826628949087
549,Beta (Cont.),0.054935729239038444
550,Beta (Cont.),0.02872682281880079
551,Beta (Cont.),0.09336159592953042
552,Beta (Cont.),0.04586997363986195
553,Beta (Cont.),0.07073266185165539
554,Beta (Cont.),0.05844767297368658
555,Beta (Cont.),0.07430288202521657
556,Beta (Cont.),0.10549854763162825
557,Beta (Cont.),0.07184130749349549
558,Beta (Cont.),0.03856164612074475
559,Beta (Cont.),0.054981429182593966
560,Beta (Cont.),0.14920420361445474
561,Beta (Cont.),0.06826682375247262
562,Beta (Cont.),0.04714454153569658
563,Beta (Cont.),0.051288852036481036
564,Beta (Cont.),0.10352373189373809
565,Beta (Cont.),0.033990895740156346
566,Beta (Cont.),0.08450959178755157
567,Beta (Cont.),0.056470763606181085
568,Beta (Cont.),0.10656447641967315
569,Beta (Cont.),0.13326294733283844
570,Beta (Cont.),0.10942828318147191
571,Beta (Cont.),0.035676788472690624
572,Beta (Cont.),0.04567188455233473
573,Beta (Cont.),0.06282210144084432
574,Beta (Cont.),0.0713660361034183
575,Beta (Cont.),0.018468058369057183
576,Beta (Cont.),0.04619509396085619
577,Beta (Cont.),0.095501041559366
578,Beta (Cont.),0.06283830413631702
579,Beta (Cont.),0.03752944613016512
580,Beta (Cont.),0.09701402178289859
581,Beta (Cont.),0.06623410125069062
582,Beta (Cont.),0.048762221497974156
583,Beta (Cont.),0.049325606168631464
584,Beta (Cont.),0.07915858501144946
585,Beta (Cont.),0.039015688609004784
586,Beta (Cont.),0.08158881719723166
587,Beta (Cont.),0.0897756405581549
588,Beta (Cont.),0.0533372892968379
589,Beta (Cont.),0.06605288648092977
590,Beta (Cont.),0.05942708745972941
591,Beta (Cont.),0.04349140249704142
592,Beta (Cont.),0.08187240919284772
593,Beta (Cont.),0.08198657839479928
594,Beta (Cont.),0.05193291185860033
595,Beta (Cont.),0.06639305219146363
596,Beta (Cont.),0.02951545402717437
597,Beta (Cont.),0.07201125597427449
598,Beta (Cont.),0.05391157747578057
599,Beta (Cont.),0.030197344568477946
